ReviewID,Review,Hotel,City,UserName,Naive_Bayes T=1/D=0,SVM T=1/D=0,SGD_CLF T=1/D=0,Logistic_Regression T=1/D=0,Decision_Tree T=1/D=0,Final Output T=1/D=0
2,"This place is not worth your time, let alone Vegas.",Novotel,Pune,Sayali,1,1,1,1,1,1
6,Service was very prompt.,Oberoi,Kolkata,Om,0,1,1,1,1,1
7,"This place is not worth your time, let alone Vegas.",Taj,Kolkata,Manasi,1,1,1,1,1,1
8,"This hole in the wall has great Mexican street tacos, and friendly staff.",Taj,Kolkata,Sayali,1,1,1,1,1,1
9,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Marriott,Kolkata,Anjali,1,1,1,1,1,1
10,Not tasty and the texture was just nasty.,Hilton,Mumbai,Krishna,0,1,1,1,1,1
11,"The burger is good beef, cooked just right.",Taj,Mumbai,Manasi,1,1,1,1,1,1
12,"Loved it...friendly servers, great food, wonderful and imaginative menu",ITC,Mumbai,Payal,1,1,1,1,1,1
13,Not much seafood and like 5 strings of pasta at the bottom.,Maratha,Mumbai,Payal,0,1,0,0,1,0
14,The cocktails are all handmade and delicious.,WelcomHotel,Bangalore,Payal,0,1,1,1,1,1
16,"In summary, this was a largely disappointing dining experience.",Conrad,Bangalore,Abhi,0,1,1,0,1,1
17,"REAL sushi lovers, let's be honest - Yama is not that good.",Windsor,Bangalore,Payal,0,1,1,1,1,1
18,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,WelcomHotel,Bangalore,Sayali,1,1,1,1,1,1
19,"This place is not worth your time, let alone Vegas.",WelcomHotel,Bangalore,Anita,1,1,1,1,1,1
20,That's right....the red velvet cake.....ohhh this stuff is so good.,WelcomHotel,Bangalore,Pranali,1,1,1,1,1,1
21,2 times - Very Bad Customer Service !,WelcomHotel,Bangalore,Sayali,0,1,1,1,1,1
22,The turkey and roast beef were bland.,WelcomHotel,Bangalore,Anita,0,1,1,1,1,1
23,"In summary, this was a largely disappointing dining experience.",WelcomHotel,Bangalore,Abhi,0,1,1,0,1,1
24,All I have to say is the food was amazing!!!,WelcomHotel,Bangalore,Arjun,0,0,0,0,1,0
25,The poor batter to meat ratio made the chicken tenders very unsatisfying.,WelcomHotel,Bangalore,Anita,0,1,0,0,1,0
26,This place has it!,WelcomHotel,Bangalore,Pranali,0,1,0,0,1,0
27,We'll never go again.,Leela,Bangalore,Anita,1,1,1,1,1,1
28,Food arrived quickly!,Leela,Bangalore,Pranali,0,0,0,0,1,0
29,It was not good.,Leela,Bangalore,Arjun,1,1,1,1,1,1
30,"REAL sushi lovers, let's be honest - Yama is not that good.",Leela,Bangalore,Sayali,0,1,1,1,1,1
31,Kind of hard to mess up a steak but they did.,Leela,Bangalore,Sayali,0,1,0,0,1,0
32,Will go back next trip out.,Leela,Bangalore,Anita,0,0,0,0,1,0
33,This is a really fantastic Thai restaurant which is definitely worth a visit.,Leela,Bangalore,Abhi,0,0,0,0,1,0
34,What I really like there is the crepe station,Conrad,Bangalore,Sayali,1,1,0,0,1,1
35,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Conrad,Bangalore,Abhi,1,1,1,1,1,1
36,I ordered the Lemon raspberry ice cocktail which was also incredible.,Conrad,Bangalore,Anjali,1,1,1,1,1,1
37,I dressed up to be treated so rudely!,Conrad,Bangalore,Sayali,0,1,0,0,1,0
38,The service here leaves a lot to be desired.,Conrad,Bangalore,Arjun,1,1,1,1,1,1
39,The waitresses are very friendly.,Conrad,Bangalore,Sayali,0,1,1,1,1,1
40,The best place to go for a tasty bowl of Pho!,Conrad,Bangalore,Anita,1,1,0,1,1,1
41,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",Windsor,Bangalore,Abhi,1,1,1,1,1,1
42,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",Windsor,Bangalore,Payal,0,1,0,0,1,0
43,She ordered a toasted English muffin that came out untoasted,Windsor,Bangalore,Anita,1,1,1,1,1,1
44,The food was very good,Windsor,Bangalore,Payal,0,1,0,0,1,0
45,There is nothing authentic about this place.,Windsor,Bangalore,Manasi,0,1,0,0,1,0
46,I will come back here every time I'm in Vegas,Windsor,Bangalore,Payal,0,0,0,0,1,0
47,Def coming back to bowl next time,Windsor,Bangalore,Anita,1,0,0,0,1,0
48,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED,Windsor,Bangalore,Payal,1,1,1,1,1,1
49,"In an interesting part of town, this place is amazing.",Maratha,Mumbai,Manasi,0,1,0,0,1,0
50,And the beans and rice were mediocre at best,Windsor,Bangalore,Arjun,1,1,0,1,1,1
51,"I find wasting food to be despicable, but this just wasn't food.",Windsor,Bangalore,Payal,0,0,0,0,1,0
52,They dropped more than the ball.,Windsor,Bangalore,Abhi,0,1,1,1,1,1
53,"The staff are great, the ambiance is great.",Windsor,Bangalore,Payal,1,1,1,1,1,1
54,Food was really good and I got full petty fast.,ITC,Kolkata,Abhi,1,1,0,0,1,1
55,"Strike 2, who wants to be rushed.",ITC,Kolkata,Anita,0,1,0,0,1,0
56,First time going but I think I will quickly become a regular.,ITC,Kolkata,Anita,0,0,1,1,1,1
57,But now I was completely grossed out.,ITC,Kolkata,Abhi,0,1,0,1,1,1
58,"For service, I give them no stars.",ITC,Kolkata,Anita,0,1,1,1,1,1
59,I'll take my business dinner dollars elsewhere.,ITC,Kolkata,Abhi,1,1,1,1,1,1
60,I don't think we'll be going back anytime soon.,Oberoi,Kolkata,Payal,0,0,0,0,1,0
61,Food was so gooodd,Oberoi,Kolkata,Abhi,0,0,0,0,1,0
62,Don't waste your time here.,Oberoi,Kolkata,Payal,0,1,1,1,1,1
63,The steaks are all well trimmed and also perfectly cooked.,Oberoi,Kolkata,Manasi,0,1,0,0,1,0
64,My gyro was basically lettuce only.,Marriott,Kolkata,Payal,0,1,1,1,1,1
65,Overall I wasn't very impressed with Noca.,Taj,Kolkata,Anita,0,0,0,0,1,0
